scenario_id;population_state;energy_transition_state;green_state;population_multiplier;heatpump_adoption;ev_adoption;electricity_demand_gwh;heating_demand_gwh;ev_demand_gwh;total_demand_gwh;rooftop_supply_gwh;parking_supply_gwh;wind_supply_gwh;green_space_supply_gwh;total_supply_gwh;energy_balance_gwh;renewable_coverage_percent;rooftop_use_percent;parking_use_percent;wind_use_percent;green_space_use_percent;living_environment_score;living_environment_class;resilience_class;recommended_intervention;health_environment_class;x_population;y_energy;z_green
S1;Decrease;Slow;Minimal;0,9;0,3;0,25;5,652;1,755;0,9075;8,3145;6,37;1,9445;0;0;8,3145;0;100;100;69,44642857;0;0;0,694464286;Low Impact;High resilience;Use rooftops and parking solar canopies;Low trade-off: parking canopies add shade and support EV charging;0;0;0
S2;Decrease;Slow;Moderate;0,9;0,3;0,25;5,652;1,755;0,9075;8,3145;6,37;1,9445;0;0;8,3145;0;100;100;69,44642857;0;0;0,694464286;Low Impact;High resilience;Use rooftops and parking solar canopies;Low trade-off: parking canopies add shade and support EV charging;0;0;1
S3;Decrease;Slow;Extensive;0,9;0,3;0,25;5,652;1,755;0,9075;8,3145;6,37;1,9445;0;0;8,3145;0;100;100;69,44642857;0;0;0,694464286;Low Impact;High resilience;Use rooftops and parking solar canopies;Low trade-off: parking canopies add shade and support EV charging;0;0;2
S4;Decrease;Moderate;Minimal;0,9;0,6;0,5;5,652;3,51;1,815;10,977;6,37;2,8;1,807;0;10,977;0;100;100;100;39,80176211;0;1,796035242;Low Impact;High resilience;"Use rooftops; parking canopies; and selected small wind turbines";Moderate trade-off: rooftop wind may create visual/noise concerns;0;1;0
S5;Decrease;Moderate;Moderate;0,9;0,6;0,5;5,652;3,51;1,815;10,977;6,37;2,8;1,807;0;10,977;0;100;100;100;39,80176211;0;1,796035242;Low Impact;High resilience;"Use rooftops; parking canopies; and selected small wind turbines";Moderate trade-off: rooftop wind may create visual/noise concerns;0;1;1
S6;Decrease;Moderate;Extensive;0,9;0,6;0,5;5,652;3,51;1,815;10,977;6,37;2,8;1,807;0;10,977;0;100;100;100;39,80176211;0;1,796035242;Low Impact;High resilience;"Use rooftops; parking canopies; and selected small wind turbines";Moderate trade-off: rooftop wind may create visual/noise concerns;0;1;2
S7;Decrease;Rapid;Minimal;0,9;0,9;0,75;5,652;5,265;2,7225;13,6395;6,37;2,8;4,4695;0;13,6395;0;100;100;100;98,44713656;0;2,968942731;Moderate Impact;High resilience;"Use rooftops; parking canopies; and selected small wind turbines";Moderate trade-off: rooftop wind may create visual/noise concerns;0;2;0
S8;Decrease;Rapid;Moderate;0,9;0,9;0,75;5,652;5,265;2,7225;13,6395;6,37;2,8;4,4695;0;13,6395;0;100;100;100;98,44713656;0;2,968942731;Moderate Impact;High resilience;"Use rooftops; parking canopies; and selected small wind turbines";Moderate trade-off: rooftop wind may create visual/noise concerns;0;2;1
S9;Decrease;Rapid;Extensive;0,9;0,9;0,75;5,652;5,265;2,7225;13,6395;6,37;2,8;4,4695;0;13,6395;0;100;100;100;98,44713656;0;2,968942731;Moderate Impact;High resilience;"Use rooftops; parking canopies; and selected small wind turbines";Moderate trade-off: rooftop wind may create visual/noise concerns;0;2;2
S10;Stable;Slow;Minimal;1;0,3;0,25;6,28;1,95;0,9075;9,1375;6,37;2,7675;0;0;9,1375;0;100;100;98,83928571;0;0;0,988392857;Low Impact;High resilience;Use rooftops and parking solar canopies;Low trade-off: parking canopies add shade and support EV charging;1;0;0
